name,album,media_type,genre,composer,milliseconds,bytes,unitprice,tracks_sold,artist,file
Shadow on the Sun,10,1,1,Audioslave/Chris Cornell,343457,8245793,0.99,1,10,
I am the Highway,10,1,1,Audioslave/Chris Cornell,334942,8041411,0.99,0,10,
Exploder,10,1,1,Audioslave/Chris Cornell,206053,4948095,0.99,1,10,
Hypnotize,10,1,1,Audioslave/Chris Cornell,206628,4961887,0.99,1,10,
Bring'em Back Alive,10,1,1,Audioslave/Chris Cornell,329534,7911634,0.99,0,10,
Light My Way,10,1,1,Audioslave/Chris Cornell,303595,7289084,0.99,0,10,
Getaway Car,10,1,1,Audioslave/Chris Cornell,299598,7193162,0.99,0,10,
The Last Remaining Light,10,1,1,Audioslave/Chris Cornell,317492,7622615,0.99,1,10,
Your Time Has Come,11,1,4,"Cornell, Commerford, Morello, Wilk",255529,8273592,0.99,1,11,
Out Of Exile,11,1,4,"Cornell, Commerford, Morello, Wilk",291291,9506571,0.99,0,11,
Be Yourself,11,1,4,"Cornell, Commerford, Morello, Wilk",279484,9106160,0.99,0,11,
Doesn't Remind Me,11,1,4,"Cornell, Commerford, Morello, Wilk",255869,8357387,0.99,1,11,
Drown Me Slowly,11,1,4,"Cornell, Commerford, Morello, Wilk",233691,7609178,0.99,1,11,
Heaven's Dead,11,1,4,"Cornell, Commerford, Morello, Wilk",276688,9006158,0.99,0,11,
The Worm,11,1,4,"Cornell, Commerford, Morello, Wilk",237714,7710800,0.99,0,11,
Man Or Animal,11,1,4,"Cornell, Commerford, Morello, Wilk",233195,7542942,0.99,0,11,
Yesterday To Tomorrow,11,1,4,"Cornell, Commerford, Morello, Wilk",273763,8944205,0.99,1,11,
Dandelion,11,1,4,"Cornell, Commerford, Morello, Wilk",278125,9003592,0.99,1,11,
#1 Zero,11,1,4,"Cornell, Commerford, Morello, Wilk",299102,9731988,0.99,0,11,
The Curse,11,1,4,"Cornell, Commerford, Morello, Wilk",309786,10029406,0.99,0,11,
Money,12,1,5,"Berry Gordy, Jr./Janie Bradford",147591,2365897,0.99,1,12,
Long Tall Sally,12,1,5,"Enotris Johnson/Little Richard/Robert ""Bumps"" Blackwell",106396,1707084,0.99,1,12,
Bad Boy,12,1,5,Larry Williams,116088,1862126,0.99,0,12,
Twist And Shout,12,1,5,Bert Russell/Phil Medley,161123,2582553,0.99,0,12,
Please Mr. Postman,12,1,5,Brian Holland/Freddie Gorman/Georgia Dobbins/Robert Bateman/William Garrett,137639,2206986,0.99,0,12,
C'Mon Everybody,12,1,5,Eddie Cochran/Jerry Capehart,140199,2247846,0.99,1,12,
Rock 'N' Roll Music,12,1,5,Chuck Berry,141923,2276788,0.99,1,12,
Slow Down,12,1,5,Larry Williams,163265,2616981,0.99,0,12,
Roadrunner,12,1,5,Bo Diddley,143595,2301989,0.99,0,12,
Carol,12,1,5,Chuck Berry,143830,2306019,0.99,1,12,
Good Golly Miss Molly,12,1,5,Little Richard,106266,1704918,0.99,1,12,
20 Flight Rock,12,1,5,Ned Fairchild,107807,1299960,0.99,0,12,
Quadrant,13,1,2,Billy Cobham,261851,8538199,0.99,0,13,
Snoopy's search-Red baron,13,1,2,Billy Cobham,456071,15075616,0.99,0,13,
"Spanish moss-""A sound portrait""-Spanish moss",13,1,2,Billy Cobham,248084,8217867,0.99,1,13,
Moon germs,13,1,2,Billy Cobham,294060,9714812,0.99,1,13,
Stratus,13,1,2,Billy Cobham,582086,19115680,0.99,0,13,
The pleasant pheasant,13,1,2,Billy Cobham,318066,10630578,0.99,0,13,
Solo-Panhandler,13,1,2,Billy Cobham,246151,8230661,0.99,1,13,
Do what cha wanna,13,1,2,George Duke,274155,9018565,0.99,1,13,
Intro/ Low Down,14,1,3,,323683,10642901,0.99,0,14,
13 Years Of Grief,14,1,3,,246987,8137421,0.99,0,14,
Stronger Than Death,14,1,3,,300747,9869647,0.99,0,14,
All For You,14,1,3,,235833,7726948,0.99,1,14,
Super Terrorizer,14,1,3,,319373,10513905,0.99,1,14,
Phoney Smile Fake Hellos,14,1,3,,273606,9011701,0.99,0,14,
Lost My Better Half,14,1,3,,284081,9355309,0.99,0,14,
Bored To Tears,14,1,3,,247327,8130090,0.99,1,14,
A.N.D.R.O.T.A.Z.,14,1,3,,266266,8574746,0.99,1,14,
Born To Booze,14,1,3,,282122,9257358,0.99,0,14,
World Of Trouble,14,1,3,,359157,11820932,0.99,0,14,
No More Tears,14,1,3,,555075,18041629,0.99,0,14,
The Begining... At Last,14,1,3,,365662,11965109,0.99,1,14,
Heart Of Gold,15,1,3,,194873,6417460,0.99,1,15,
Snowblind,15,1,3,,420022,13842549,0.99,0,15,
Like A Bird,15,1,3,,276532,9115657,0.99,0,15,
Blood In The Wall,15,1,3,,284368,9359475,0.99,1,15,
The Beginning...At Last,15,1,3,,271960,8975814,0.99,1,15,
Black Sabbath,16,1,3,,382066,12440200,0.99,0,16,
The Wizard,16,1,3,,264829,8646737,0.99,0,16,
Behind The Wall Of Sleep,16,1,3,,217573,7169049,0.99,0,16,
N.I.B.,16,1,3,,368770,12029390,0.99,1,16,
Evil Woman,16,1,3,,204930,6655170,0.99,1,16,
Sleeping Village,16,1,3,,644571,21128525,0.99,0,16,
Warning,16,1,3,,212062,6893363,0.99,0,16,
Wheels Of Confusion / The Straightener,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",494524,16065830,0.99,0,17,
Tomorrow's Dream,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",192496,6252071,0.99,1,17,
Changes,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",286275,9175517,0.99,0,17,
FX,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",103157,3331776,0.99,0,17,
Supernaut,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",285779,9245971,0.99,0,17,
Snowblind,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",331676,10813386,0.99,2,17,
Cornucopia,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",234814,7653880,0.99,2,17,
Laguna Sunrise,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",173087,5671374,0.99,1,17,
St. Vitus Dance,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",149655,4884969,0.99,0,17,
Under The Sun/Every Day Comes and Goes,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",350458,11360486,0.99,1,17,
Smoked Pork,18,1,4,,47333,1549074,0.99,1,18,
Body Count's In The House,18,1,4,,204251,6715413,0.99,1,18,
Now Sports,18,1,4,,4884,161266,0.99,0,18,
Body Count,18,1,4,,317936,10489139,0.99,1,18,
A Statistic,18,1,4,,6373,211997,0.99,1,18,
Bowels Of The Devil,18,1,4,,223216,7324125,0.99,2,18,
The Real Problem,18,1,4,,11650,387360,0.99,0,18,
KKK Bitch,18,1,4,,173008,5709631,0.99,1,18,
D Note,18,1,4,,95738,3067064,0.99,0,18,
Voodoo,18,1,4,,300721,9875962,0.99,2,18,
The Winner Loses,18,1,4,,392254,12843821,0.99,0,18,
There Goes The Neighborhood,18,1,4,,350171,11443471,0.99,0,18,
Oprah,18,1,4,,6635,224313,0.99,0,18,
Evil Dick,18,1,4,,239020,7828873,0.99,1,18,
Body Count Anthem,18,1,4,,166426,5463690,0.99,1,18,
Momma's Gotta Die Tonight,18,1,4,,371539,12122946,0.99,0,18,
Freedom Of Speech,18,1,4,,281234,9337917,0.99,0,18,
King In Crimson,19,1,3,Roy Z,283167,9218499,0.99,1,19,
Chemical Wedding,19,1,3,Roy Z,246177,8022764,0.99,2,19,
The Tower,19,1,3,Roy Z,285257,9435693,0.99,1,19,
Killing Floor,19,1,3,Adrian Smith,269557,8854240,0.99,1,19,
Book Of Thel,19,1,3,Eddie Casillas/Roy Z,494393,16034404,0.99,1,19,
Gates Of Urizen,19,1,3,Roy Z,265351,8627004,0.99,1,19,
Jerusalem,19,1,3,Roy Z,402390,13194463,0.99,1,19,
Trupets Of Jericho,19,1,3,Roy Z,359131,11820908,0.99,1,19,
Machine Men,19,1,3,Adrian Smith,341655,11138147,0.99,1,19,
The Alchemist,19,1,3,Roy Z,509413,16545657,0.99,1,19,
Realword,19,1,3,Roy Z,237531,7802095,0.99,1,19,
First Time I Met The Blues,20,1,6,Eurreal Montgomery,140434,4604995,0.99,1,20,
Let Me Love You Baby,20,1,6,Willie Dixon,175386,5716994,0.99,1,20,
Stone Crazy,20,1,6,Buddy Guy,433397,14184984,0.99,1,20,
Pretty Baby,20,1,6,Willie Dixon,237662,7848282,0.99,0,20,
When My Left Eye Jumps,20,1,6,Al Perkins/Willie Dixon,235311,7685363,0.99,2,20,
Leave My Girl Alone,20,1,6,Buddy Guy,204721,6859518,0.99,1,20,
She Suits Me To A Tee,20,1,6,Buddy Guy,136803,4456321,0.99,0,20,
Keep It To Myself (Aka Keep It To Yourself),20,1,6,Sonny Boy Williamson [I],166060,5487056,0.99,0,20,
My Time After Awhile,20,1,6,Robert Geddins/Ron Badger/Sheldon Feinberg,182491,6022698,0.99,1,20,
Too Many Ways (Alternate),20,1,6,Willie Dixon,135053,4459946,0.99,0,20,
Talkin' 'Bout Women Obviously,20,1,6,Amos Blakemore/Buddy Guy,589531,19161377,0.99,0,20,
Jorge Da Capadócia,21,1,7,Jorge Ben,177397,5842196,0.99,1,21,
Prenda Minha,21,1,7,Tradicional,99369,3225364,0.99,1,21,
Meditação,21,1,7,Tom Jobim - Newton Mendoça,148793,4865597,0.99,2,21,
Terra,21,1,7,Caetano Veloso,482429,15889054,0.99,1,21,
Eclipse Oculto,21,1,7,Caetano Veloso,221936,7382703,0.99,1,21,
"Texto ""Verdade Tropical""",21,1,7,Caetano Veloso,84088,2752161,0.99,1,21,
Bem Devagar,21,1,7,Gilberto Gil,133172,4333651,0.99,2,21,
Drão,21,1,7,Gilberto Gil,156264,5065932,0.99,0,21,
Saudosismo,21,1,7,Caetano Veloso,144326,4726981,0.99,1,21,
Carolina,21,1,7,Chico Buarque,181812,5924159,0.99,1,21,
Sozinho,21,1,7,Peninha,190589,6253200,0.99,1,21,
Esse Cara,21,1,7,Caetano Veloso,223111,7217126,0.99,1,21,
Mel,21,1,7,Caetano Veloso - Waly Salomão,294765,9854062,0.99,2,21,
Linha Do Equador,21,1,7,Caetano Veloso - Djavan,299337,10003747,0.99,1,21,
Odara,21,1,7,Caetano Veloso,141270,4704104,0.99,1,21,
A Luz De Tieta,21,1,7,Caetano Veloso,251742,8507446,0.99,0,21,
Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,21,1,7,David Corrêa - Paulinho Carvalho - Carlos Sena - Bira do Ponto,307252,10364247,0.99,1,21,
Vida Boa,21,1,7,Fausto Nilo - Armandinho,281730,9411272,0.99,1,21,
Sozinho (Hitmakers Classic Mix),22,1,7,,436636,14462072,0.99,1,22,
Sozinho (Hitmakers Classic Radio Edit),22,1,7,,195004,6455134,0.99,0,22,
Sozinho (Caêdrum 'n' Bass),22,1,7,,328071,10975007,0.99,1,22,
Carolina,23,1,7,,163056,5375395,0.99,0,23,
Essa Moça Ta Diferente,23,1,7,,167235,5568574,0.99,0,23,
Vai Passar,23,1,7,,369763,12359161,0.99,1,23,
Samba De Orly,23,1,7,,162429,5431854,0.99,2,23,
"Bye, Bye Brasil",23,1,7,,283402,9499590,0.99,1,23,
Atras Da Porta,23,1,7,,189675,6132843,0.99,1,23,
Tatuagem,23,1,7,,172120,5645703,0.99,1,23,
O Que Será (À Flor Da Terra),23,1,7,,167288,5574848,0.99,1,23,
Morena De Angola,23,1,7,,186801,6373932,0.99,2,23,
Apesar De Você,23,1,7,,234501,7886937,0.99,1,23,
A Banda,23,1,7,,132493,4349539,0.99,1,23,
Minha Historia,23,1,7,,182256,6029673,0.99,1,23,
Com Açúcar E Com Afeto,23,1,7,,175386,5846442,0.99,1,23,
Brejo Da Cruz,23,1,7,,214099,7270749,0.99,0,23,
Meu Caro Amigo,23,1,7,,260257,8778172,0.99,2,23,
Geni E O Zepelim,23,1,7,,317570,10342226,0.99,2,23,
Trocando Em Miúdos,23,1,7,,169717,5461468,0.99,1,23,
Vai Trabalhar Vagabundo,23,1,7,,139154,4693941,0.99,0,23,
Gota D'água,23,1,7,,153208,5074189,0.99,1,23,
Construção / Deus Lhe Pague,23,1,7,,383059,12675305,0.99,1,23,
Mateus Enter,24,1,7,Chico Science,33149,1103013,0.99,1,24,
O Cidadão Do Mundo,24,1,7,Chico Science,200933,6724966,0.99,1,24,
Etnia,24,1,7,Chico Science,152555,5061413,0.99,1,24,
Quilombo Groove [Instrumental],24,1,7,Chico Science,151823,5042447,0.99,0,24,
Macô,24,1,7,Chico Science,249600,8253934,0.99,0,24,
Um Passeio No Mundo Livre,24,1,7,Chico Science,240091,7984291,0.99,1,24,
Samba Do Lado,24,1,7,Chico Science,227317,7541688,0.99,2,24,
Maracatu Atômico,24,1,7,Chico Science,284264,9670057,0.99,1,24,
O Encontro De Isaac Asimov Com Santos Dumont No Céu,24,1,7,Chico Science,99108,3240816,0.99,0,24,
Corpo De Lama,24,1,7,Chico Science,232672,7714954,0.99,0,24,
Sobremesa,24,1,7,Chico Science,240091,7960868,0.99,1,24,
Manguetown,24,1,7,Chico Science,194560,6475159,0.99,1,24,
Um Satélite Na Cabeça,24,1,7,Chico Science,126615,4272821,0.99,1,24,
Baião Ambiental [Instrumental],24,1,7,Chico Science,152659,5198539,0.99,0,24,
Sangue De Bairro,24,1,7,Chico Science,132231,4415557,0.99,1,24,
Enquanto O Mundo Explode,24,1,7,Chico Science,88764,2968650,0.99,0,24,
Interlude Zumbi,24,1,7,Chico Science,71627,2408550,0.99,1,24,
Criança De Domingo,24,1,7,Chico Science,208222,6984813,0.99,1,24,
Amor De Muito,24,1,7,Chico Science,175333,5881293,0.99,2,24,
Samidarish [Instrumental],24,1,7,Chico Science,272431,8911641,0.99,0,24,
Maracatu Atômico [Atomic Version],24,1,7,Chico Science,273084,9019677,0.99,0,24,
Maracatu Atômico [Ragga Mix],24,1,7,Chico Science,210155,6986421,0.99,0,24,
Maracatu Atômico [Trip Hop],24,1,7,Chico Science,221492,7380787,0.99,1,24,
Banditismo Por Uma Questa,25,1,7,,307095,10251097,0.99,1,25,
Banditismo Por Uma Questa,25,1,7,,243644,8147224,0.99,1,25,
Rios Pontes & Overdrives,25,1,7,,286720,9659152,0.99,1,25,
Cidade,25,1,7,,216346,7241817,0.99,0,25,
Praiera,25,1,7,,183640,6172781,0.99,0,25,
Samba Makossa,25,1,7,,271856,9095410,0.99,1,25,
Da Lama Ao Caos,25,1,7,,251559,8378065,0.99,1,25,
Maracatu De Tiro Certeiro,25,1,7,,88868,2901397,0.99,1,25,
Salustiano Song,25,1,7,,215405,7183969,0.99,0,25,
Antene Se,25,1,7,,248372,8253618,0.99,0,25,
Risoflora,25,1,7,,105586,3536938,0.99,0,25,
Lixo Do Mangue,25,1,7,,193253,6534200,0.99,2,25,
Computadores Fazem Arte,25,1,7,,404323,13702771,0.99,1,25,
Girassol,26,1,8,Bino Farias/Da Gama/Lazão/Pedro Luis/Toni Garrido,249808,8327676,0.99,0,26,
A Sombra Da Maldade,26,1,8,Da Gama/Toni Garrido,230922,7697230,0.99,0,26,
Johnny B. Goode,26,1,8,Chuck Berry,254615,8505985,0.99,0,26,
Soldado Da Paz,26,1,8,Herbert Vianna,194220,6455080,0.99,1,26,
Firmamento,26,1,8,Bino Farias/Da Gama/Henry Lawes/Lazão/Toni Garrido/Winston Foser-Vers,222145,7402658,0.99,1,26,
Extra,26,1,8,Gilberto Gil,304352,10078050,0.99,1,26,
O Erê,26,1,8,Bernardo Vilhena/Bino Farias/Da Gama/Lazão/Toni Garrido,236382,7866924,0.99,0,26,
Podes Crer,26,1,8,Bino Farias/Da Gama/Lazão/Toni Garrido,232280,7747747,0.99,1,26,
A Estrada,26,1,8,Bino Farias/Da Gama/Lazão/Toni Garrido,248842,8275673,0.99,0,26,
Berlim,26,1,8,Da Gama/Toni Garrido,207542,6920424,0.99,0,26,
Já Foi,26,1,8,Bino Farias/Da Gama/Lazão/Toni Garrido,221544,7388466,0.99,1,26,
Onde Você Mora?,26,1,8,Marisa Monte/Nando Reis,256026,8502588,0.99,1,26,
Pensamento,26,1,8,Bino Farias/Da Gamma/Lazão/Rás Bernard,173008,5748424,0.99,1,26,
Conciliação,26,1,8,Da Gama/Lazão/Rás Bernardo,257619,8552474,0.99,0,26,
Realidade Virtual,26,1,8,Bino Farias/Da Gama/Lazão/Toni Garrido,195239,6503533,0.99,0,26,
Mensagem,26,1,8,Bino Farias/Da Gama/Lazão/Rás Bernardo,225332,7488852,0.99,0,26,
A Cor Do Sol,26,1,8,Bernardo Vilhena/Da Gama/Lazão,231392,7663348,0.99,2,26,
Onde Você Mora?,27,1,8,Marisa Monte/Nando Reis,298396,10056970,0.99,1,27,
O Erê,27,1,8,Bernardo Vilhena/Bino/Da Gama/Lazao/Toni Garrido,206942,6950332,0.99,0,27,
A Sombra Da Maldade,27,1,8,Da Gama/Toni Garrido,285231,9544383,0.99,0,27,
A Estrada,27,1,8,Da Gama/Lazao/Toni Garrido,282174,9344477,0.99,0,27,
Falar A Verdade,27,1,8,Bino/Da Gama/Ras Bernardo,244950,8189093,0.99,1,27,
Firmamento,27,1,8,Harry Lawes/Winston Foster-Vers,225488,7507866,0.99,1,27,
Pensamento,27,1,8,Bino/Da Gama/Ras Bernardo,192391,6399761,0.99,0,27,
Realidade Virtual,27,1,8,Bino/Da Gamma/Lazao/Toni Garrido,240300,8069934,0.99,0,27,
Doutor,27,1,8,Bino/Da Gama/Toni Garrido,178155,5950952,0.99,1,27,
Na Frente Da TV,27,1,8,Bino/Da Gama/Lazao/Ras Bernardo,289750,9633659,0.99,1,27,
Downtown,27,1,8,Cidade Negra,239725,8024386,0.99,0,27,
Sábado A Noite,27,1,8,Lulu Santos,267363,8895073,0.99,1,27,
A Cor Do Sol,27,1,8,Bernardo Vilhena/Da Gama/Lazao,273031,9142937,0.99,0,27,
Eu Também Quero Beijar,27,1,8,Fausto Nilo/Moraes Moreira/Pepeu Gomes,211147,7029400,0.99,1,27,
Noite Do Prazer,28,1,7,,311353,10309980,0.99,0,28,
À Francesa,28,1,7,,244532,8150846,0.99,0,28,
Cada Um Cada Um (A Namoradeira),28,1,7,,253492,8441034,0.99,0,28,
Linha Do Equador,28,1,7,,244715,8123466,0.99,2,28,
Amor Demais,28,1,7,,254040,8420093,0.99,1,28,
Férias,28,1,7,,264202,8731945,0.99,0,28,
Gostava Tanto De Você,28,1,7,,230452,7685326,0.99,0,28,
Flor Do Futuro,28,1,7,,275748,9205941,0.99,0,28,
Felicidade Urgente,28,1,7,,266605,8873358,0.99,1,28,
Livre Pra Viver,28,1,7,,214595,7111596,0.99,1,28,
"Dig-Dig, Lambe-Lambe (Ao Vivo)",29,1,9,Cassiano Costa/Cintia Maviane/J.F./Lucas Costa,205479,6892516,0.99,0,29,
Pererê,29,1,9,Augusto Conceição/Chiclete Com Banana,198661,6643207,0.99,0,29,
TriboTchan,29,1,9,Cal Adan/Paulo Levi,194194,6507950,0.99,1,29,
"Tapa Aqui, Descobre Ali",29,1,9,Paulo Levi/W. Rangel,188630,6327391,0.99,1,29,
Daniela,29,1,9,Jorge Cardoso/Pierre Onasis,230791,7748006,0.99,0,29,
Bate Lata,29,1,9,Fábio Nolasco/Gal Sales/Ivan Brasil,206733,7034985,0.99,0,29,
